mode,fps,frames,mean_ms,p90_ms,gpu_temp_max,cpu_temp_max,gr3d_avg,gr3d_max,vdd_in_avg_mw,note
ultralytics_video_800,53.480509304821275,3209,18.69837768246108,18.847407220164314,60.937,62.218,32.32203389830509,35.0,12887.118644067798,Ultralytics/Python path
opencv_videocapture_800,52.55477862156762,3154,19.01881554639841,19.179331691702828,61.468,62.937,32.71186440677966,35.0,12871.525423728814,Ultralytics/Python path
gstreamer_hwdecode_800,59.88714405429076,3603,16.65192101567688,16.73445879132487,63.187,64.531,37.54237288135593,42.0,14428.474576271186,Ultralytics/Python path
predecoded_ring_800,63.75544837062646,3826,15.679651794684514,15.75156049511861,62.937,64.125,38.83050847457627,46.0,13470.50847457627,Ultralytics/Python path
synthetic_numpy_800,64.76382899093862,3886,15.435727122929991,15.494838517042808,62.812,63.843,39.49152542372882,47.0,13418.983050847457,Ultralytics/Python path
trtexec_raw_no_transfers_800,202.157,,,,,,,,,raw TensorRT via trtexec
trtexec_raw_with_transfers_800,196.897,,,,,,,,,raw TensorRT via trtexec
native_trt_gpu_resident,176.011,10561,5.68114,5.69599,69.281,69.156,95.64615384615385,97.0,19780.86923076923,native C++ TensorRT runner; tegrastats covers both native modes
native_trt_h2d_d2h,169.787,10188,5.8895,5.90194,69.281,69.156,95.64615384615385,97.0,19780.86923076923,native C++ TensorRT runner; tegrastats covers both native modes
native_cpp_gstreamer_preprocess_trt,99.1139,5947,10.0886,10.2912,65.375,66.437,56.25757575757576,66.0,17322.045454545456,"native C++ GStreamer hwdecode + CPU letterbox/normalize + TensorRT; read 0.43 ms, preprocess 3.60 ms, infer/copy 6.05 ms"
